Quarter,Sentiment_Score,Sentiment_Volatility,Date
2000-03-31,0.5873333333333334,0.2876666666666667,2000-03-31
2000-06-30,0.6473333333333333,0.19666666666666666,2000-06-30
2000-09-30,0.5133333333333333,0.2996666666666667,2000-09-30
2000-12-31,0.531,0.4156666666666667,2000-12-31
2001-03-31,0.5926666666666667,0.2996666666666667,2001-03-31
2001-06-30,0.6166666666666667,0.3,2001-06-30
2001-09-30,0.657,0.34800000000000003,2001-09-30
2001-12-31,0.622,0.22866666666666668,2001-12-31
2002-03-31,0.581,0.3176666666666667,2002-03-31
2002-06-30,0.42333333333333334,0.263,2002-06-30
2002-09-30,0.5773333333333334,0.3176666666666667,2002-09-30
2002-12-31,0.541,0.29466666666666663,2002-12-31
2003-03-31,0.578,0.262,2003-03-31
2003-06-30,0.6876666666666668,0.261,2003-06-30
2003-09-30,0.47,0.21033333333333334,2003-09-30
2003-12-31,0.5643333333333334,0.26633333333333337,2003-12-31
2004-03-31,0.5770000000000001,0.25033333333333335,2004-03-31
2004-06-30,0.38033333333333336,0.2833333333333334,2004-06-30
2004-09-30,0.39766666666666667,0.284,2004-09-30
2004-12-31,0.511,0.30033333333333334,2004-12-31
2005-03-31,0.35533333333333333,0.299,2005-03-31
2005-06-30,0.43133333333333335,0.2856666666666667,2005-06-30
2005-09-30,0.43966666666666665,0.3433333333333333,2005-09-30
2005-12-31,0.3986666666666667,0.17733333333333334,2005-12-31
2006-03-31,0.34933333333333333,0.3076666666666667,2006-03-31
2006-06-30,0.35200000000000004,0.3413333333333333,2006-06-30
2006-09-30,0.33666666666666667,0.27899999999999997,2006-09-30
2006-12-31,0.48633333333333334,0.3376666666666666,2006-12-31
2007-03-31,0.26266666666666666,0.301,2007-03-31
2007-06-30,0.17200000000000001,0.317,2007-06-30
2007-09-30,0.119,0.25733333333333336,2007-09-30
2007-12-31,0.21366666666666667,0.39233333333333337,2007-12-31
2008-03-31,0.5826666666666667,0.3273333333333333,2008-03-31
2008-06-30,0.5943333333333333,0.414,2008-06-30
2008-09-30,0.6166666666666667,0.225,2008-09-30
2008-12-31,0.645,0.27899999999999997,2008-12-31
2009-03-31,0.6203333333333333,0.317,2009-03-31
2009-06-30,0.5723333333333334,0.3873333333333333,2009-06-30
2009-09-30,0.6573333333333333,0.2966666666666667,2009-09-30
2009-12-31,0.5680000000000001,0.19533333333333336,2009-12-31
2010-03-31,0.6123333333333333,0.3026666666666667,2010-03-31
2010-06-30,0.484,0.247,2010-06-30
2010-09-30,0.47100000000000003,0.248,2010-09-30
2010-12-31,0.45133333333333336,0.4093333333333333,2010-12-31
2011-03-31,0.4366666666666667,0.35800000000000004,2011-03-31
2011-06-30,0.5750000000000001,0.2996666666666667,2011-06-30
2011-09-30,0.4076666666666667,0.2826666666666667,2011-09-30
2011-12-31,0.39366666666666666,0.30433333333333334,2011-12-31
2012-03-31,0.39199999999999996,0.295,2012-03-31
2012-06-30,0.488,0.3463333333333334,2012-06-30
2012-09-30,0.4226666666666667,0.2876666666666667,2012-09-30
2012-12-31,0.3416666666666666,0.20633333333333334,2012-12-31
2013-03-31,0.4223333333333333,0.4486666666666667,2013-03-31
2013-06-30,0.501,0.2946666666666667,2013-06-30
2013-09-30,0.527,0.3666666666666667,2013-09-30
2013-12-31,0.5083333333333334,0.20166666666666666,2013-12-31
2014-03-31,0.6156666666666667,0.229,2014-03-31
2014-06-30,0.5526666666666666,0.2773333333333334,2014-06-30
2014-09-30,0.5353333333333333,0.21566666666666667,2014-09-30
2014-12-31,0.5409999999999999,0.3793333333333333,2014-12-31
2015-03-31,0.576,0.21333333333333335,2015-03-31
2015-06-30,0.6073333333333334,0.2783333333333334,2015-06-30
2015-09-30,0.5233333333333333,0.30466666666666664,2015-09-30
2015-12-31,0.6066666666666666,0.26366666666666666,2015-12-31
2016-03-31,0.5913333333333334,0.20333333333333334,2016-03-31
2016-06-30,0.47700000000000004,0.24166666666666667,2016-06-30
2016-09-30,0.5486666666666667,0.286,2016-09-30
2016-12-31,0.48666666666666664,0.33866666666666667,2016-12-31
2017-03-31,0.532,0.20366666666666666,2017-03-31
2017-06-30,0.5143333333333334,0.44566666666666666,2017-06-30
2017-09-30,0.47700000000000004,0.24333333333333332,2017-09-30
2017-12-31,0.6123333333333333,0.246,2017-12-31
2018-03-31,0.3833333333333333,0.37666666666666665,2018-03-31
2018-06-30,0.42366666666666664,0.3473333333333333,2018-06-30
2018-09-30,0.38799999999999996,0.293,2018-09-30
2018-12-31,0.4336666666666667,0.22866666666666666,2018-12-31
2019-03-31,0.31766666666666665,0.09533333333333334,2019-03-31
2019-06-30,0.3853333333333333,0.3253333333333333,2019-06-30
2019-09-30,0.321,0.3073333333333333,2019-09-30
2019-12-31,0.445,0.3423333333333334,2019-12-31
2020-03-31,0.31466666666666665,0.285,2020-03-31
2020-06-30,0.33499999999999996,0.25566666666666665,2020-06-30
2020-09-30,0.31233333333333335,0.39399999999999996,2020-09-30
2020-12-31,0.26666666666666666,0.291,2020-12-31
2021-03-31,0.536,0.258,2021-03-31
2021-06-30,0.5493333333333333,0.20299999999999999,2021-06-30
2021-09-30,0.606,0.27299999999999996,2021-09-30
2021-12-31,0.5443333333333333,0.3996666666666666,2021-12-31
2022-03-31,0.5826666666666667,0.2836666666666667,2022-03-31
2022-06-30,0.511,0.29,2022-06-30
2022-09-30,0.5976666666666667,0.333,2022-09-30
2022-12-31,0.5603333333333333,0.308,2022-12-31
